QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QA06AC	Soolesisaldise mahtu suurendavad lahtistid	Bulk-forming laxatives
QA06AG	Klistiiriks kasutatavad ained	Enemas
QA06AX	Teised kõhukinnisuse vastased ained	Other drugs for constipation
QA07	KÕHULAHTISUSE-, SOOLEPÕLETIKU- JA SOOLEINFEKTSIOONIVASTASED AINED	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
QA07A	SOOLEINFEKTSIOONIVASTASED AINED	INTESTINAL ANTIINFECTIVES
QA07AA	Antibiootikumid	Antibiotics
QA07AA01	neomütsiin	Neomycin
QA07AA06	paromomütsiin	Paromomycin
QA07AA10	kolistiin	Colistin
QA07AA91	gentamütsiin	Gentamicin
QA07AA93	batsitratsiin	Bacitracin
QA07AB	Sulfoonamiidid	Sulfonamides
QA07AB80	sulfaguanidiin+tsinkoksiid	Sulfaguanidine+Zinc oxide
QA07AC	Imidasooli derivaadid	Imidazole derivatives
QA07AX	Teised sooleinfektsioonivastased ained	Other intestinal antiinfectives
QA07B	SOOLEADSORBENDID	INTESTINAL ADSORBENTS
QA07BA	Puusöepreparaadid	Charcoal preparations
QA07BB	Vismutipreparaadid	Bismuth preparations
QA07BC	Teised sooleadsorbendid	Other intestinal adsorbents
QA07C	ELEKTROLÜÜDID KOOS SÜSIVESIKUTEGA	ELECTROLYTES WITH CARBOHYDRATES
QA07CQ	Suukaudsed rehüdratsioonilahused veterinaarseks kasutamiseks	Oral rehydration formulations for veterinary use
QA07D	SOOLE MOTOORIKAT PÄRSSIVAD AINED	ANTIPROPULSIVES
QA07DA	Soole motoorikat pärssivad ained	Antipropulsives
QA07F	KÕHULAHTISUSEVASTASED MIKROORGANISMID	ANTIDIARRHEAL MICROORGANISMS
QA07FA	Kõhulahtisusevastased mikroorganismid	Antidiarrheal microorganisms
QA07FA80	Streptococcus faecium M74	Streptococcus faecium M74
QA07FA81	bakterkultuur	Bacterial culture
QA07X	TEISED KÕHULAHTISUSEVASTASED AINED	OTHER ANTIDIARRHEALS
QA07XA	Teised kõhulahtisusevastased ained	Other antidiarrheals
QA07XA91	tsinkoksiid	Zinc oxide
QA08	RASVUMUSVASTASED, V.A DIEEDIKS KASUTATAVAD AINED	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
QA08A	RASVUMUSVASTASED, V.A DIEEDIKS KASUTATAVAD AINED	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
QA08AB	Perifeerse toimega rasvumusvastased ained	Peripherally acting antiobesity products
QA08AB90	mitratapiid	Mitratapide
QA08AB91	dirlotapiid	Dirlotapide
QA09	SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID	DIGESTIVES, INCL. ENZYMES
QA09A	SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID	DIGESTIVES, INCL. ENZYMES
QA09AA	Ensüümid	Enzyme preparations
QA09AB	Happed	Acid preparations
QA09AC	Ensüümide ja hapete kombinatsioonid	Enzyme and acid preparations, combinations
QA09AX	SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID	Digestives, incl. enzymes
QA09AX80	dimetikoon	Dimeticone
QA10	DIABEEDI RAVIKS KASUTATAVAD AINED	DRUGS USED IN DIABETES
QA10A	INSULIINID JA NENDE ANALOOGID	INSULINS AND ANALOGUES
QA10AB	Lühikese toimeajaga insuliinid ja nende analoogid süstimiseks	Insulins and analogues for injection, fast-acting
QA10AC	Keskmise toimeajaga insuliinid ja nende analoogid süstimiseks	Insulins and analogues for injection, intermediate-acting
QA10AC03	keskmise toimeajaga seainsuliin	Insulin (pork)
QA10AD	Keskmise ja lühikese toimeajaga insuliinide ja nende analoogide kombinatsioonid süstimiseks	Insulins and analogues for injection, intermediate-acting combined with fast-acting
QA10AE	Pika toimeajaga insuliinid ja nende analoogid süstimiseks	Insulins and analogues for injection, long-acting
QA10B	VERE GLÜKOOSISISALDUST VÄHENDAVAD AINED, V.A INSULIINID	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS
QA10BA	Biguaniidid	Biguanides
QA10BB	Sulfoonamiidid, uurea derivaadid	Sulfonamides, urea derivatives
QA10BB81	uurea	Urea
QA10BC	Heterotsüklilised sulfoonamiidid	Sulfonamides (heterocyclic)
QA10BD	Suukaudsete vere glükoosisisaldust vähendavate ainete kombinatsioonid	Combinations of oral blood glucose lowering drugs
QA10BF	Alfaglükosidaasi inhibiitorid	Alpha glucosidase inhibitors
QA10BG	Tiasolidiindioonid	Thiazolidinediones
QA10BX	Teised vere glükoosisisaldust vähendavad ained, v.a insuliinid	Other blood glucose lowering drugs, excl. insulins
QA10X	TEISED DIABEEDI RAVIKS KASUTATAVAD AINED	OTHER DRUGS USED IN DIABETES
QA10XA	Aldoosi reduktaasi inhibiitorid	Aldose reductase inhibitors
QA11	VITAMIINID	VITAMINS
QA11A	POLÜVITAMIINIDE KOMBINATSIOONID	MULTIVITAMINS, COMBINATIONS
QA11AA	Polüvitamiinid mineraalainetega	Multivitamins with minerals
QA11AB	Teised polüvitamiinide kombinatsioonid	Multivitamins, other combinations
QA11B	POLÜVITAMIINID	MULTIVITAMINS, PLAIN
QA11BA	Polüvitamiinid	Multivitamins, plain
QA11C	VITAMIINID A JA D, NENDE OMAVAHELISED KOMBINATSIOONID	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO
QA11CA	Vitamiin A	Vitamin A, plain
QA11CB	Vitamiinide A ja D kombinatsioonid	Vitamin A and D in combination
QA11CC	Vitamiin D ja selle analoogid	Vitamin D and analogues
QA11D	VITAMIIN B1 JA SELLE KOMBINATSIOONID VITAMIINIDEGA B6 JA B12	VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12
QA11DA	Tiamiin (vitamiin B1)	Vitamin B1, plain
QA11DB	Vitamiin B1 ja selle kombinatsioonid vitamiiniga B6 ja/või vitamiiniga B12	Vitamin B1 in combination with vitamin B6 and/or vitamin B12
QA11E	B-RÜHMA VITAMIINID, K.A KOMBINATSIOONID TEISTE AINETEGA	VITAMIN B-COMPLEX, INCL. COMBINATIONS
QA11EA	B-rühma vitamiinid	Vitamin B-complex, plain
QA11EA80	tiamiin+riboflaviin+püridoksiin+tsüanokobalamiin+dekspantenool+nikotiinamiid+biotiin+koliinkloriid	Thiamine+Riboflavin+Pyridoxine+Cyanocobalamin+Dexpanthenol+Nicotinamide+Biotin+Choline chloride
QA11EB	B-rühma vitamiinid vitamiiniga C	Vitamin B-complex with vitamin C
QA11EB80	tiamiin+askorbiinhape+nikotiinamiid+riboflaviin+püridoksiin	Thiamine+Ascorbic acid+Nicotinamide+Riboflavin+Pyridoxine
QA11EC	B-rühma vitamiinid mineraalainetega	Vitamin B-complex with minerals
QA11ED	B-rühma vitamiinid anaboolsete steroididega	Vitamin B-complex with anabolic steroids
QA11EX	B-rühma vitamiinide teised kombinatsioonid	Vitamin B-complex, other combinations
QA11EX82	tiamiin+riboflaviin+dekspantenool+tsüanokobalamiin+pangaamhape+püridoksiin	Thiamine+Riboflavin+Dexpanthenol+Cyanocobalamin+Pangamic acid+Pyridoxine
QA11G	ASKORBIINHAPE (VITAMIIN C) JA SELLE KOMBINATSIOONID	ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS
QA11GA	Askorbiinhape (vitamiin C)	Ascorbic acid (vitamin C), plain
QA11GB	Askorbiinhappe (vitamiin C) kombinatsioonid	Ascorbic acid (vitamin C), combinations
QA11H	TEISTE VITAMIINIDE PREPARAADID	OTHER PLAIN VITAMIN PREPARATIONS
QA11HA	Teiste vitamiinide preparaadid	Other plain vitamin preparations
QA11J	TEISTE VITAMIINIDE KOMBINATSIOONID	OTHER VITAMIN PRODUCTS, COMBINATIONS
QA11JA	Vitamiinide kombinatsioonid	Combinations of vitamins
QA11JA71	retinool+tokoferool+nikotiinamiid+riboflaviin+tsüanokobalamiin+kolekaltsiferool+püridoksiin+pantenool+tiamiin	Retinol+Tocopherol+Nicotinamide+Riboflavin+Cyanocobalamin+Colecalciferol+Pyridoxine+Panthenol+Thiamine
QA11JA72	nikotiinamiid+püridoksiin	Nicotinamide+Pyridoxine
QA11JA72	retinool+tokoferool+kolekaltsiferool+askorbiinhape	Retinol+Tocopherol+Colecalciferol+Ascorbic acid
QA11JA73	retinool+tokoferool+askorbiinhape+nikotiinamiid+menadioonnaatriumbisulfit+kolekaltsiferool+püridoksiin+tiamiin	Retinol+Tocopherol+Ascorbic acid+Nicotinamide+Menadione sodium bisulfite+Colecalciferol+Pyridoxine+Thiamine
QA11JA74	retinool+tokoferool+askorbiinhape+kolekaltsiferool+tiamiin	Retinol+Tocopherol+Ascorbic acid+Colecalciferol+Thiamine
QA11JA75	retinool+tokoferool+kolekaltsiferool+tiamiin	Retinol+Tocopherol+Colecalciferol+Thiamine
QA11JA77	retinool+tokoferool+askorbiinhape+nikotiinamiid+riboflaviin+biotiin+menadioonnaatriumbisulfit+dekspantenool+tsüanokobalamiin+kolekaltsiferool+püridoksiin+koliin+tiamiin	Retinol+Tocopherol+Ascorbic acid+Nicotinamide+Riboflavin+Biotin+Menadione sodium bisulfite+Dexpanthenol+Cyanocobalamin+Colecalciferol+Pyridoxine+Choline+Thiamine
QA11JA80	tiamiin+nikotiinhape+püridoksiin	Thiamine+Nicotinic acid+Pyridoxine
QA11JA81	retinool+tokoferool+kolekaltsiferool	Retinol+Tocopherol+Colecalciferol
QA11JA82	retinool+tokoferool+foolhape+riboflaviin+menadioonnaatriumbisulfit+nikotiinhape+kaltsiumpantotenaat+pangaamhape+naatriumaskorbaat+kolekaltsiferool+püridoksiin+tiamiin	Retinol+Tocopherol+Folic acid+Riboflavin+Menadione sodium bisulfite+Nicotinic acid+Calcium pantothenate+Pangamic acid+Sodium ascorbate+Colecalciferol+Pyridoxine+Thiamine
QA11JA83	retinool+tokoferool	Retinol+Tocopherol
QA11JA84	tiamiin+askorbiinhape+riboflaviin+nikotiinhape+kaltsiumpantotenaat+pangaamhape+kinoon+püridoksiin	Thiamine+Ascorbic acid+Riboflavin+Nicotinic acid+Calcium pantothenate+Pangamic acid+Quinone+Pyridoxine
QA11JA85	retinool+tokoferool+nikotiinamiid+riboflaviin+tsüanokobalamiin+kolekaltsiferool+püridoksiin	Retinol+Tocopherol+Nicotinamide+Riboflavin+Cyanocobalamin+Colecalciferol+Pyridoxine
QA11JA86	retinool+tokoferool+askorbiinhape+nikotiinamiid+riboflaviin+biotiin+menadioonnaatriumbisulfit+nikotiinhape+kolekaltsiferool+püridoksiin+tiamiin	Retinol+Tocopherol+Ascorbic acid+Nicotinamide+Riboflavin+Biotin+Menadione sodium bisulfite+Nicotinic acid+Colecalciferol+Pyridoxine+Thiamine
QA11JA87	retinool+tokoferool+askorbiinhape	Retinol+Tocopherol+Ascorbic acid
QA11JA88	tiamiin+retinool+tokoferool+riboflaviin+pangaamhape+kolekaltsiferool+püridoksiin	Thiamine+Retinol+Tocopherol+Riboflavin+Pangamic acid+Colecalciferol+Pyridoxine
QA11JA89	retinool+tokoferool+nikotiinamiid+riboflaviin+dekspantenool+tsüanokobalamiin+kolekaltsiferool+püridoksiin+tiamiin	Retinol+Tocopherol+Nicotinamide+Riboflavin+Dexpanthenol+Cyanocobalamin+Colecalciferol+Pyridoxine+Thiamine
QA11JA90	retinool+tokoferool+askorbiinhape+riboflaviin+menadioonnaatriumbisulfit+nikotiinhape+tsüanokobalamiin+pantoteenhape+kolekaltsiferool+püridoksiin+tiamiin	Retinol+Tocopherol+Ascorbic acid+Riboflavin+Menadione sodium bisulfite+Nicotinic acid+Cyanocobalamin+Pantothenic acid+Colecalciferol+Pyridoxine+Thiamine
QA11JB	Vitamiinid mineraalainetega	Vitamins with minerals
QA11JB62	retinool+tokoferool+foolhape+nikotiinamiid+riboflaviin+biotiin+naatriumkloriid+menadioonnaatriumbisulfit+inositoolnikotinaat+tsüanokobalamiin+kaltsium+pantoteenhape+kolekaltsiferool+püridoksiin+jood+koliin+magneesium+raud+vask+tsink+koobalt+mangaan+fosfor+kaalium+tiamiin	Retinol+Tocopherol+Folic acid+Nicotinamide+Riboflavin+Biotin+Sodium chloride+Menadione sodium bisulfite+Inositol nicotinate+Cyanocobalamin+Calcium+Pantothenic acid+Colecalciferol+Pyridoxine+Iodine+Choline+Magnesium+Iron+Copper+Zinc+Cobalt+Manganese+Phosphorus+Potassium+Thiamine
QA11JB63	retinool+tokoferool+foolhape+nikotiinamiid+riboflaviin+tsüanokobalamiin+kaltsium+pantoteenhape+kolekaltsiferool+püridoksiin+jood+magneesium+raud+mangaan+fosfor+kaalium+tiamiin	Retinol+Tocopherol+Folic acid+Nicotinamide+Riboflavin+Cyanocobalamin+Calcium+Pantothenic acid+Colecalciferol+Pyridoxine+Iodine+Magnesium+Iron+Manganese+Phosphorus+Potassium+Thiamine
QA11JB71	retinool+tokoferool+kaltsium	Retinol+Tocopherol+Calcium
QA11JB72	tiamiin+foolhape+riboflaviin+menadioonnaatriumbisulfit+nikotiinhape+kaltsiumpantotenaat+tsüanokobalamiin+püridoksiin+raud+vask+tsink+koobalt	Thiamine+Folic acid+Riboflavin+Menadione sodium bisulfite+Nicotinic acid+Calcium pantothenate+Cyanocobalamin+Pyridoxine+Iron+Copper+Zinc+Cobalt
QA11JB73	retinool+tokoferool+foolhape+riboflaviin+menadioonnaatriumbisulfit+nikotiinhape+kaltsiumpantotenaat+tsüanokobalamiin+kaltsium+kolekaltsiferool+püridoksiin+jood+magneesium+vask+tsink+mangaan+fosfor+tiamiin	Retinol+Tocopherol+Folic acid+Riboflavin+Menadione sodium bisulfite+Nicotinic acid+Calcium pantothenate+Cyanocobalamin+Calcium+Colecalciferol+Pyridoxine+Iodine+Magnesium+Copper+Zinc+Manganese+Phosphorus+Thiamine
QA11JB74	biotiin+tsink	Biotin+Zinc
QA11JB75	tsüanokobalamiin+toldimfos	Cyanocobalamin+Toldimfos
QA11JB76	vitamiinid	Vitamins
QA11JB77	retinool+tokoferool+kolekaltsiferool+raud+vask+tsink+mangaan	Retinol+Tocopherol+Colecalciferol+Iron+Copper+Zinc+Manganese
QA11JB79	retinool+tokoferool+riboflaviin+nikotiinhape+inositoolnikotinaat+dekspantenool+tsüanokobalamiin+kolekaltsiferool+püridoksiin+magneesium+koliintsitraat+vask+tsink+koobalt+mangaan+metioniin+tiamiin	Retinol+Tocopherol+Riboflavin+Nicotinic acid+Inositol nicotinate+Dexpanthenol+Cyanocobalamin+Colecalciferol+Pyridoxine+Magnesium+Choline citrate+Copper+Zinc+Cobalt+Manganese+Methionine+Thiamine
QA11JB81	naatriumseleniit+tokoferool+levokarnitiin+tsink+metioniin	Sodium selenite+Tocopherol+Levocarnitine+Zinc+Methionine
QA11JB82	naatriumseleniit+tsüanokobalamiin+magneesiumaspartaat+kaaliumaspartaat	Sodium selenite+Cyanocobalamin+Magnesium aspartate+Potassium aspartate
QA11JB83	tokoferool+naatriumseleen	Tocopherol+Sodium selenium
QA11JB84	naatriumseleniit+retinool+tokoferool+tsüanokobalamiin+koobaltsulfaat+kolekaltsiferool	Sodium selenite+Retinol+Tocopherol+Cyanocobalamin+Cobalt sulphate+Colecalciferol
QA11JB85	vitamiinid+mineraalained	Vitamins+Mineral elements
QA11JB86	vitamiinid+mineraalained	Vitamins+Mineral elements
QA11JB87	retinool+tokoferool+foolhape+riboflaviin+menadioonnaatriumbisulfit+kaltsiumpantotenaat+tsüanokobalamiin+kaltsium+kolekaltsiferool+jood+koliin+flavomütsiin+seleen+magneesium+naatrium+raud+vask+tsink+koobalt+mangaan+fosfor+metioniin+söödapärm	Retinol+Tocopherol+Folic acid+Riboflavin+Menadione sodium bisulfite+Calcium pantothenate+Cyanocobalamin+Calcium+Colecalciferol+Iodine+Choline+Flavomycin+Selenium+Magnesium+Sodium+Iron+Copper+Zinc+Cobalt+Manganese+Phosphorus+Methionine+Field yeast
QA11JB88	riboflaviin+retinool+tokoferool+kaaliumjodiid+sidrunhape+nikotiinamiid+biotiin+naatriumatsetaattrihüdraat+kaltsiumpantotenaat+tsüanokobalamiin+magneesiumsulfaat+kolekaltsiferool+püridoksiin+mangaansulfaat+kaaliumsorbaat+tauriin+tiamiin	Riboflavin+Retinol+Tocopherol+Potassium iodide+Citric acid+Nicotinamide+Biotin+Sodium acetate trihydrate+Calcium pantothenate+Cyanocobalamin+Magnesium sulphate+Colecalciferol+Pyridoxine+Manganese sulphate+Potassium sorbate+Taurine+Thiamine
QA11JB89	vitamiinid+mineraalained	Vitamins+Mineral elements
QA11JB89	retinool+kolekaltsiferool+tsink	Retinol+Colecalciferol+Zinc
QA11JC	Teised vitamiinide kombinatsioonid	Vitamins, other combinations
QA11JC65	hüdroksüapatiit+askorbiinhape+foolhape+riboflaviin+nikotiinhape+kollageen+kolekaltsiferool+püridoksiin+magneesium+osi+tiamiin	Hydroxyapatite+Ascorbic acid+Folic acid+Riboflavin+Nicotinic acid+Collagen+Colecalciferol+Pyridoxine+Magnesium+Equisetum+Thiamine
QA11JC66	retinool+trüptofaan+tokoferool+askorbiinhape+foolhape+nikotiinamiid+riboflaviin+menadioonnaatriumbisulfit+lüsiin+kaltsiumpantotenaat+tsüanokobalamiin+kolekaltsiferool+püridoksiin+seleen+metioniin+tiamiin	Retinol+Tryptophan+Tocopherol+Ascorbic acid+Folic acid+Nicotinamide+Riboflavin+Menadione sodium bisulfite+Lysine+Calcium pantothenate+Cyanocobalamin+Colecalciferol+Pyridoxine+Selenium+Methionine+Thiamine
QA11JC71	retinool+tokoferool+nikotiinamiid+riboflaviin+dekspantenool+tsüanokobalamiin+kolekaltsiferool+püridoksiin+DL-atsetüülmetioniin+koliin+magneesium+mesoinositool+vask+tsink+koobalt+mangaan+tiamiin	Retinol+Tocopherol+Nicotinamide+Riboflavin+Dexpanthenol+Cyanocobalamin+Colecalciferol+Pyridoxine+DL-acetylmethionine+Choline+Magnesium+Meso-inositol+Copper+Zinc+Cobalt+Manganese+Thiamine
QA11JC72	retinool+tokoferool+askorbiinhape+foolhape+nikotiinamiid+riboflaviin+biotiin+menadioonnaatriumbisulfit+kaltsiumpantotenaat+tsüanokobalamiin+kolekaltsiferool+püridoksiin+koliin+aminohapped+tiamiin	Retinol+Tocopherol+Ascorbic acid+Folic acid+Nicotinamide+Riboflavin+Biotin+Menadione sodium bisulfite+Calcium pantothenate+Cyanocobalamin+Colecalciferol+Pyridoxine+Choline+Amino acids+Thiamine
QA11JC75	riboflaviin+tokoferool+nikotiinhape+inositoolnikotinaat+tsüanokobalamiin+pantoteenhape+püridoksiin+naatrium+raud+tsink+koliinkloriid+tiamiin	Riboflavin+Tocopherol+Nicotinic acid+Inositol nicotinate+Cyanocobalamin+Pantothenic acid+Pyridoxine+Sodium+Iron+Zinc+Choline chloride+Thiamine
QA11JC76	nikotiinhape+lüsiin+kaltsiumpantotenaat+raud+vask+tsink+mangaan+metioniin	Nicotinic acid+Lysine+Calcium pantothenate+Iron+Copper+Zinc+Manganese+Methionine
QA11JC77	askorbiinhape+nikotiinhape+kaltsiumpantotenaat+jood+raud+vask+tsink+koobalt+mangaan	Ascorbic acid+Nicotinic acid+Calcium pantothenate+Iodine+Iron+Copper+Zinc+Cobalt+Manganese
QA11JC79	retinool	Retinol
QA11JC82	alaniin+trüptofaan+glutamiinhape+retinool+tokoferool+askorbiinhape+riboflaviin+menadioonnaatriumbisulfit+glütsiin+lüsiin+nikotiinhape+tsüanokobalamiin+aspartaamhape+pantoteenhape+kolekaltsiferool+püridoksiin+metioniin+arginiin+tsüstiin+fenüülalaniin+histidiin+isoleutsiin+leutsiin+proliin+seriin+türosiin+treoniin+valiin+tiamiin	Alanine+Tryptophan+Glutamic acid+Retinol+Tocopherol+Ascorbic acid+Riboflavin+Menadione sodium bisulfite+Glycine+Lysine+Nicotinic acid+Cyanocobalamin+Aspartic acid+Pantothenic acid+Colecalciferol+Pyridoxine+Methionine+Arginine+Cystine+Phenylalanine+Histidine+Isoleucine+Leucine+Proline+Serine+Tyrosine+Threonine+Valine+Thiamine
QA11JC83	batsitratsiin+retinool+tokoferool+nikotiinamiid+riboflaviin+kaltsiumpantotenaat+pangaamhape+kinoon+kolekaltsiferool	Bacitracin+Retinol+Tocopherol+Nicotinamide+Riboflavin+Calcium pantothenate+Pangamic acid+Quinone+Colecalciferol
QA11JC84	batsitratsiin+retinool+tokoferool+askorbiinhape+riboflaviin+nikotiinhape+kaltsiumpantotenaat+pangaamhape+kinoon+kolekaltsiferool	Bacitracin+Retinol+Tocopherol+Ascorbic acid+Riboflavin+Nicotinic acid+Calcium pantothenate+Pangamic acid+Quinone+Colecalciferol
QA11JC85	retinool+tokoferool+riboflaviin+menadioonnaatriumbisulfit+nikotiinhape+kaltsiumpantotenaat+pangaamhape+kolekaltsiferool+püridoksiin+jood+koliin+raud+vask+tsink+koobalt+mangaan+tiamiin	Retinol+Tocopherol+Riboflavin+Menadione sodium bisulfite+Nicotinic acid+Calcium pantothenate+Pangamic acid+Colecalciferol+Pyridoxine+Iodine+Choline+Iron+Copper+Zinc+Cobalt+Manganese+Thiamine
QA11JC86	vitamiinid+mineraalained+aminohapped	Vitamins+Mineral elements+Amino acids
QA11JC87	retinool+tokoferool+riboflaviin+biotiin+menadioonnaatriumbisulfit+nikotiinhape+kaltsiumpantotenaat+kaltsiumkarbonaat+pangaamhape+kolekaltsiferool+püridoksiin+koliin+tiamiin	Retinol+Tocopherol+Riboflavin+Biotin+Menadione sodium bisulfite+Nicotinic acid+Calcium pantothenate+Calcium carbonate+Pangamic acid+Colecalciferol+Pyridoxine+Choline+Thiamine
QA11JC89	taruvaik	Propolis
QA11JC92	retinool+foolhape+nikotiinamiid+riboflaviin+biotiin+lüsiin+dekspantenool+tsüanokobalamiin+kolekaltsiferool+püridoksiin+DL-atsetüülmetioniin+koliin+alfatokoferool+tiamiin	Retinol+Folic acid+Nicotinamide+Riboflavin+Biotin+Lysine+Dexpanthenol+Cyanocobalamin+Colecalciferol+Pyridoxine+DL-acetylmethionine+Choline+Alpha - tocopherol+Thiamine
QA11JC93	retinool+nikotiinamiid+riboflaviin+biotiin+menadioonnaatriumbisulfit+inositoolnikotinaat+tsüanokobalamiin+pangaamhape+kolekaltsiferool+püridoksiin+pantenool+tiamiin+hüdrolüüsitud loomne valk	Retinol+Nicotinamide+Riboflavin+Biotin+Menadione sodium bisulfite+Inositol nicotinate+Cyanocobalamin+Pangamic acid+Colecalciferol+Pyridoxine+Panthenol+Thiamine+Hydrolyze animal protein
QA11JC94	retinool+kolekaltsiferool+alfatokoferool+tiamiin+riboflaviin+püridoksiin+tsüanokobalamiin+dekspantenool+menadioonnaatriumbisulfit+nikotiinamiid+foolhape+biotiin+koliin+DL-atsetüülmetioniin+lüsiin	Retinol+Colecalciferol+Alpha - tocopherol+Thiamine+Riboflavin+Pyridoxine+Cyanocobalamin+Dexpanthenol+Menadione sodium bisulfite+Nicotinamide+Folic acid+Biotin+Choline+DL-acetylmethionine+Lysine
QA11JC95	retinool+kolekaltsiferool+alfatokoferool+tiamiin+riboflaviin+püridoksiin+tsüanokobalamiin+askorbiinhape+kaltsiumpantotenaat+menadioonnaatriumbisulfit+nikotiinamiid+foolhape+biotiin+koliinkloriid+lüsiin+DL-atsetüülmetioniin	Retinol+Colecalciferol+Alpha - tocopherol+Thiamine+Riboflavin+Pyridoxine+Cyanocobalamin+Ascorbic acid+Calcium pantothenate+Menadione sodium bisulfite+Nicotinamide+Folic acid+Biotin+Choline chloride+Lysine+DL-acetylmethionine
QA11JC96	vitamiinid+aminohapped	Vitamins+Amino acids
QA12	MINERAALSED LISANDID	MINERAL SUPPLEMENTS
QA12A	KALTSIUM	CALCIUM
QA12AA	Kaltsium	Calcium
QA12AX	Kaltsiumi kombinatsioonid vitamiin D ja/või teiste ainetega	Calcium, combinations with vitamin D and/or other drugs
QA12AX71	kaltsiumglükonaat+boorhape+magneesiumkloriid	Calcium gluconate+Boric acid+Magnesium chloride
QA12AX72	kaltsiumglükonaat+boorhape	Calcium gluconate+Boric acid
QA12AX73	kaltsiumglükonaat+boorhape+magneesium+fosfor	Calcium gluconate+Boric acid+Magnesium+Phosphorus
QA12AX74	kaltsiumglükonaat+boorhape+glükoos+magneesiumhüpofosfit	Calcium gluconate+Boric acid+Glucose+Magnesium hypophosphite
