A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
A02AD83	kaltsiumkarbonaat+magneesiumkarbonaat	Calcium carbonate+Magnesium carbonate
A02AD84	almagaat+kaltsiumkarbonaat	Almagate+Calcium carbonate
A02AF	Antatsiidid koos kõhupuhitusvastaste ainetega	Antacids with antiflatulents
A02AF80	alumiiniumhüdroksiid+magneesiumhüdroksiid+simetikoon	Aluminium hydroxide+Magnesium hydroxide+Simeticone
A02AG	Antatsiidid spasmolüütikumidega	Antacids with antispasmodics
A02AH	Naatriumvesinikkarbonaati sisaldavad antatsiidid	Antacids with sodium bicarbonate
A02AX	Teised antatsiidide kombinatsioonid	Antacids, other combinations
A02AX81	alumiiniumhüdroksiid+bensokaiin+magneesiumoksiid	Aluminium hydroxide+Benzocaine+Magnesium oxide
A02AX82	kaltsiumkarbonaat+magneesiumkarbonaat+algiinhape	Calcium carbonate+Magnesium carbonate+Alginic acid
A02AX83	vismutsubnitraat+magneesiumkarbonaat+naatriumvesinikkarbonaat	Bismuth subnitrate+Magnesium carbonate+Sodium hydrogen carbonate
A02B	PEPTILISE HAAVANDI JA GASTROÖSOFAGEAALSE REFLUKSHAIGUSE RAVIKS KASUTATAVAD AINED	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BA	H2-retseptori antagonistid	H2-receptor antagonists
A02BA01	tsimetidiin	Cimetidine
A02BA02	ranitidiin	Ranitidine
A02BA03	famotidiin	Famotidine
A02BA04	nisatidiin	Nizatidine
A02BA05	niperotidiin	Niperotidine
A02BA06	roksatidiin	Roxatidine
A02BA07	ranitidiinvismuttsitraat	Ranitidine bismuth citrate
A02BB	Prostaglandiinid	Prostaglandins
A02BB02	enprostiil	Enprostil
A02BC	Prootonpumba inhibiitorid	Proton pump inhibitors
A02BC01	omeprasool	Omeprazole
A02BC02	pantoprasool	Pantoprazole
A02BC03	lansoprasool	Lansoprazole
A02BC04	rabeprasool	Rabeprazole
A02BC05	esomeprasool	Esomeprazole
A02BD	Kombinatsioonid Helicobacter pylori eradikatsiooniks	Combinations for eradication of Helicobacter pylori
A02BX	Teised peptilise haavandi ja gastroösofageaalse reflukshaiguse raviks kasutatavad ained	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A02BX01	karbenoksoloon	Carbenoxolone
A02BX02	sukralfaat	Sucralfate
A02BX03	pirensepiin	Pirenzepine
A02BX05	vismutsubtsitraat	Bismuth subcitrate
A02BX06	proglumiid	Proglumide
A02BX07	gefarnaat	Gefarnate
A02BX08	sulglikotiid	Sulglicotide
A02BX10	zolimidiin	Zolimidine
A02BX11	troksipiid	Troxipide
A02BX12	vismutsubnitraat	Bismuth subnitrate
A02BX13	algiinhape	Alginic acid
A02X	TEISED MAOMAHLA HAPPESUSEGA SEOTUD HÄIRETE RAVIKS KASUTATAVAD AINED	OTHER DRUGS FOR ACID RELATED DISORDERS
A03	GASTROINTESTINAALTRAKTI FUNKTSIONAALSETE HÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A	GASTROINTESTINAALTRAKTI FUNKTSIONAALSETE HÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AA	Sünteetilised antikolinergilised ained - tertsiaarse aminorühmaga estrid	Synthetic anticholinergics, esters with tertiary amino group
A03AA01	oksüfentsüklimiin	Oxyphencyclimine
A03AA03	kamülofiin	Camylofin
A03AA04	mebeveriin	Mebeverine
A03AA05	trimebutiin	Trimebutine
A03AA06	rotsiveriin	Rociverine
A03AA07	ditsükloveriin	Dicycloverine
A03AA08	diheksüveriin	Dihexyverine
A03AA09	difemeriin	Difemerine
A03AA30	piperidolaat	Piperidolate
A03AB	Sünteetilised antikolinergilised ained - kvaternaarsed ammooniumiühendid	Synthetic anticholinergics, quaternary ammonium compounds
A03AB01	bensilooniumbromiid	Benzilonium bromide
A03AB02	glükopürroonbromiid	Glycopyrronium bromide
A03AB03	oksüfenooniumbromiid	Oxyphenonium bromide
A03AB05	propanteliinbromiid	Propantheline bromide
A03AB06	otilooniumbromiid	Otilonium bromide
A03AB07	metanteliiniumbromiid	Methanthelinium bromide
A03AB08	tridiheksetüüljodiid	Tridihexethyl iodide
A03AB09	isopropamiidjodiid	Isopropamide iodide
A03AB10	heksotsükliummetüülsulfaat	Hexocyclium metilsulfate
A03AB11	poldiinmetüülsulfaat	Poldine metilsulfate
A03AB12	mepensolaatbromiid	Mepenzolate bromide
A03AB13	bevoonium metüülsulfaat	Bevonium metilsulfate
A03AB14	pipensolaatbromiid	Pipenzolate bromide
A03AB15	difemaniilmetüülsulfaat	Diphemanil metilsulfate
A03AB17	tiemooniumjodiid	Tiemonium iodide
A03AB18	prifiiniumbromiid	Prifinium bromide
A03AB19	timepiidiumbromiid	Timepidium bromide
A03AB21	fenpiveriinbromiid	Fenpiverinium bromide
A03AC	Sünteetilised spasmolüütikumid - tertsiaarsete amiinidega amiidid	Synthetic antispasmodics, amides with tertiary amines
A03AC05	tiropramiid	Tiropramide
A03AD	Papaveriin ja selle derivaadid	Papaverine and derivatives
A03AD01	papaveriinvesinikkloriid	Papaverine hydrochloride
A03AD02	drotaveriin	Drotaverine
A03AD30	moksaveriin	Moxaverine
A03AD80	papaveriinvesinikkloriid+bendasool	Papaverine hydrochloride+Bendazole
A03AE	Serotoniiniretseptori antagonistid	Serotonin receptor antagonists
A03AX	Teised gastrointestinaaltrakti funktsionaalsete häirete raviks kasutatavad aine	Other drugs for functional gastrointestinal disorders
A03AX01	fenpipraan	Fenpiprane
A03AX02	diisopromiin	Diisopromine
A03AX03	kloorbensoksamiin	Chlorbenzoxamine
A03AX04	pinaveeriumbromiid	Pinaverium bromide
A03AX05	fenoveriin	Fenoverine
A03AX07	proksasool	Proxazole
A03AX08	alveriin	Alverine
A03AX09	trepibutoon	Trepibutone
A03AX10	isometepteen	Isometheptene
A03AX11	karoveriin	Caroverine
A03AX13	simetikoon	Simeticone
A03AX80	dimetikoon	Dimeticone
A03AX82	alveriin+simetikoon	Alverine+Simeticone
A03AX83	piparmündiõli	Peppermint oil
A03B	BELLADONNA ALKALOIDID JA NENDE DERIVAADID	BELLADONNA AND DERIVATIVES, PLAIN
A03BA	Belladonna alkaloidid - tertsiaarsed amiinid	Belladonna alkaloids, tertiary amines
A03BA01	atropiin	Atropine
A03BA03	hüosküamiin	Hyoscyamine
A03BA04	belladonnaekstrakt	Extract of Belladonna
A03BB	Belladonna alkaloidid - poolsünteetilised kvaternaarsed ammooniumiühendid	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
A03BB01	butüülskopolamiin	Butylscopolamine
A03BB02	atropiinmetonitraat	Atropine methonitrate
A03BB04	fentooniumbromiid	Fentonium bromide
A03BB05	tsimetroopiumbromiid	Cimetropium bromide
A03C	SPASMOLÜÜTIKUMIDE KOMBINATSIOONID  PSÜHHOLEPTIKUMIDEGA	ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03CA	Sünteetiliste antikolinergiliste ainete kombinatsioonid psühholeptikumidega	Synthetic anticholinergic agents in combination with psycholeptics
A03CA02	klidiiniumbromiid+kloordiasepoksiid	Clidinium bromide+Chlordiazepoxide
A03CB	Belladonna alkaloidide ja derivaatide kombinatsioonid psühholeptikumidega	Belladonna and derivatives in combination with psycholeptics
A03CB80	belladonnaekstrakt+ergotamiin+fenobarbitaal	Extract of Belladonna+Ergotamine+Phenobarbital
A03CC	Teiste spasmolüütikumide kombinatsioonid psühholeptikumidega	Other antispasmodics in combination with psycholeptics
A03D	SPASMOLÜÜTIKUMIDE KOMBINATSIOONID ANALGEETIKUMIDEGA	ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DA	Sünteetiliste antikolinergiliste ainete kombinatsioonid analgeetikumidega	Synthetic anticholinergic agents in combination with analgesics
A03DA80	pitofenoon+naatriummetamisool+fenipiveriin	Pitofenone+Metamizole sodium+Fenipiverine
A03DB	Belladonna alkaloidide ja derivaatide kombinatsioonid analgeetikumidega	Belladonna and derivatives in combination with analgesics
A03DB04	butüülskopolamiin+paratsetamool	Butylscopolamine+Paracetamol
A03DC	Teiste spasmolüütikumide kombinatsioonid analgeetikumidega	Other antispasmodics in combination with analgesics
A03DC80	naatriummetamisool+fenpiveriinbromiid+pitofenoon	Metamizole sodium+Fenpiverinium bromide+Pitofenone
A03E	SPASMOLÜÜTIKUMIDE JA ANTIKOLINERGILISTE AINETE KOMBINATSIOONID TEISTE AINETEGA	ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03EA	Spasmolüütikumide, psühholeptikumide ja analgeetikumide kombinatsioonid	Antispasmodics, psycholeptics and analgesics in combination
A03ED	Spasmolüütikumide kombinatsioonid teiste ainetega	Antispasmodics in combination with other drugs
A03F	SOOLE MOTOORIKAT KIIRENDAVAD AINED	PROPULSIVES
A03FA	Soole motoorikat kiirendavad ained	Propulsives
A03FA01	metoklopramiid	Metoclopramide
A03FA02	tsisapriid	Cisapride
A03FA03	domperidoon	Domperidone
A03FA04	bromopriid	Bromopride
A03FA05	alisapriid	Alizapride
A03FA06	klebopriid	Clebopride
A03FA80	itopriid	Itopride
A04	OKSENDAMIS- JA IIVELDUSVASTASED AINED	ANTIEMETICS AND ANTINAUSEANTS
A04A	OKSENDAMIS- JA IIVELDUSVASTASED AINED	ANTIEMETICS AND ANTINAUSEANTS
A04AA	Serotoniini (5-HT3) antagonistid	Serotonin (5-HT3) antagonists
A04AA01	ondansetroon	Ondansetron
A04AA02	granisetroon	Granisetron
A04AA03	tropisetroon	Tropisetron
A04AA04	dolasetroon	Dolasetron
A04AA05	palonosetroon	Palonosetron
A04AD	Teised oksendamisvastased ained	Other antiemetics
A04AD01	hüostsiin	Hyoscine
A04AD04	klorobutanool	Chlorobutanol
A04AD05	metopimasiin	Metopimazine
A04AD12	aprepitant	Aprepitant
A04AD81	fosaprepitant	Fosaprepitant
A05	SAPITEEDE JA MAKSA RAVI	BILE AND LIVER THERAPY
A05A	SAPITEEDE RAVI	BILE THERAPY
A05AA	Sapphappepreparaadid	Bile acid preparations
A05AA01	kenodeoksükoolhape	Chenodeoxycholic acid
A05AA02	ursodeoksükoolhape	Ursodeoxycholic acid
A05AB	Sapiteede raviks kasutatavad preparaadid	Preparations for biliary tract therapy
A05AX	Teised sapiteede raviks kasutatavad ained	Other drugs for bile therapy
A05AX00	PUUDU_EESTI	PUUDU_INGLISE
A05AX01	piprosoliin	Piprozolin
A05AX02	hümekromoon	Hymecromone
A05AX03	tsüklobutürool	Cyclobutyrol
A05AX82	fenipentool	Fenipentol
A05B	MAKSA RAVIKS KASUTATAVAD LIPOTROOPSED AINED	LIVER THERAPY, LIPOTROPICS
A05BA	Maksa ravi	Liver therapy
A05BA01	arginiin	Arginine
A05BA03	silümariin	Silymarin
A05BA04	tsitioloon	Citiolone
A05BA06	ornitiinoksogluraat	Ornithine oxoglurate
A05BA80	essentsiaalsed fosfolipiidid	Essentsiaalsed fosfolipiidid
A05BA83	taimsed ekstraktid	Taimsed ekstraktid
A05BA87	ornitiin	Ornithine
A05C	SAPITEEDE RAVIKS KASUTATAVATE JA LIPOTROOPSETE AINETE KOMBINATSIOONID	DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
A06	KÕHUKINNISUSE VASTASED AINED	DRUGS FOR CONSTIPATION
A06A	KÕHUKINNISUSE VASTASED AINED	DRUGS FOR CONSTIPATION
A06AA	Soolesisaldist pehmendavad ained	Softeners, emollients
A06AA01	parafiin, vedel	Paraffin, liquid
A06AA02	naatriumdokusaat	Docusate sodium
A06AB	Kontaktlahtistid	Contact laxatives
A06AB01	oksüfenisatiin	Oxyphenisatine
A06AB02	bisakodüül	Bisacodyl
A06AB03	dantroon	Dantron
A06AB04	fenoolftaleiin	Phenolphthalein
A06AB05	riitsinusõli	Castor oil
A06AB06	sennaglükosiidid	Senna glycosides
A06AB08	naatriumpikosulfaat	Sodium picosulfate
A06AB80	naatriumpikosulfaat+magneesiumoksiid+sidrunhape	Sodium picosulfate+Magnesium oxide+Citric acid
A06AC	Soolesisaldise mahtu suurendavad lahtistid	Bulk-forming laxatives
A06AC01	ispaghula hemitselluloos	Hemicellulose of Ispaghula
A06AD	Osmootse toimega lahtistid	Osmotically acting laxatives
A06AD02	magneesiumoksiid	Magnesium oxide
A06AD04	magneesiumsulfaat	Magnesium sulphate
A06AD10	mineraalained	Mineral elements
A06AD11	laktuloos	Lactulose
A06AD12	laktitool	Lactitol
A06AD13	naatriumsulfaat, veevaba	Sodium sulphate, anhydrous
A06AD15	makrogool	Macrogol
A06AD80	makrogool+naatriumtsitraat+sidrunhape+naatriumkloriid+kaaliumkloriid	Macrogol+Sodium citrate+Citric acid+Sodium chloride+Potassium chloride
A06AD81	naatriumsulfaat, veevaba+kaaliumkloriid+naatriumkloriid+makrogool+naatriumvesinikkarbonaat	Sodium sulphate, anhydrous+Potassium chloride+Sodium chloride+Macrogol+Sodium hydrogen carbonate
A06AD82	dinaatriumvesinikfosfaatdodekahüdraat+naatriumdivesinikfosfaatdihüdraat	Disodium phosphate dodecahydrate+Sodium dihydrogen phosphate dihydrate
A06AD83	makrogool+naatriumsulfaat, veevaba+naatriumkloriid+kaaliumkloriid+askorbiinhape+naatriumaskorbaat	Macrogol+Sodium sulphate, anhydrous+Sodium chloride+Potassium chloride+Ascorbic acid+Sodium ascorbate
A06AD84	makrogool+kaaliumkloriid+naatriumvesinikkarbonaat+naatriumkloriid	Macrogol+Potassium chloride+Sodium hydrogen carbonate+Sodium chloride
A06AD85	naatriumsulfaat, veevaba+magneesiumsulfaatheptahüdraat+kaaliumsulfaat	Sodium sulphate, anhydrous+magnesium sulfate heptahydrate+Potassium sulphate
A06AG	Klistiiriks kasutatavad ained	Enemas
A06AG01	naatriumfosfaat(32P)	Sodium phosphate (32P)
A06AG02	bisakodüül	Bisacodyl
A06AG03	dantroon	Dantron
A06AG04	glütserool	Glycerol
A06AG07	sorbitool	Sorbitol
A06AG10	naatriumdokusaat	Docusate sodium
A06AG11	naatriumlaurüülsulfoatsetaat+sorbitool+naatriumtsitraat	Laurilsulfate, incl. combinations+Sorbitol+Sodium citrate
A06AH	Perifeersed opioidiretseptori antagonistid	Peripheral opioid receptor antagonists
A06AH01	metüülnaltreksoonbromiid	Methylnaltrexone bromide
A06AX	Teised kõhukinnisuse vastased ained	Other drugs for constipation
A06AX01	glütserool	Glycerol
A06AX04	linaklotiid	linaclotide
A06AX05	prukalopriid	Prucalopride
A07	KÕHULAHTISUSE-, SOOLEPÕLETIKU- JA SOOLEINFEKTSIOONIVASTASED AINED	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
A07A	SOOLEINFEKTSIOONIVASTASED AINED	INTESTINAL ANTIINFECTIVES
A07AA	Antibiootikumid	Antibiotics
A07AA01	neomütsiin	Neomycin
A07AA02	nüstatiin	Nystatin
A07AA03	natamütsiin	Natamycin
A07AA04	streptomütsiin	Streptomycin
A07AA05	polümüksiin B	Polymyxin B
A07AA06	paromomütsiin	Paromomycin
A07AA07	amfoteritsiin	Amphotericin
A07AA08	kanamütsiin	Kanamycin
A07AA09	vankomütsiin	Vancomycin
A07AA10	kolistiin	Colistin
A07AA11	rifaksimiin	Rifaximin
A07AA12	fidaksomitsiin	Fidaxomicin
A07AA80	levoriin	Levorin
A07AB	Sulfoonamiidid	Sulfonamides
A07AB02	ftalüülsulfatiasool	Phthalylsulfathiazole
A07AB03	sulfaguanidiin	Sulfaguanidine
A07AB04	suktsinüülsulfatiasool	Succinylsulfathiazole
A07AB80	sulfaguanidiin	Sulfaguanidine
A07AC	Imidasooli derivaadid	Imidazole derivatives
A07AC01	mikonasool	Miconazole
A07AX	Teised sooleinfektsioonivastased ained	Other intestinal antiinfectives
A07AX01	broksükinoliin	Broxyquinoline
A07AX02	atsetarsool	Acetarsol
A07AX03	nifuroksasiid	Nifuroxazide
A07AX04	nifursiid	Nifurzide
A07B	SOOLEADSORBENDID	INTESTINAL ADSORBENTS
A07BA	Puusöepreparaadid	Charcoal preparations
A07BA01	aktiveeritud süsi	Charcoal, activated
A07BB	Vismutipreparaadid	Bismuth preparations
A07BC	Teised sooleadsorbendid	Other intestinal adsorbents
A07BC01	pektiin	Pectin
A07BC02	kaoliin	Kaolin
A07BC03	krospovidoon	Crospovidone
A07BC05	diosmektiid	Diosmectidum
A07C	ELEKTROLÜÜDID KOOS SÜSIVESIKUTEGA	ELECTROLYTES WITH CARBOHYDRATES
A07CA	Suukaudsed rehüdratatsioonisoolad	Oral rehydration salt formulations
A07CA80	naatriumkloriid+kaaliumkloriid+naatriumtsitraat+glükoos	Sodium chloride+Potassium chloride+Sodium citrate+Glucose
A07D	SOOLE MOTOORIKAT PÄRSSIVAD AINED	ANTIPROPULSIVES
A07DA	Soole motoorikat pärssivad ained	Antipropulsives
A07DA01	difenoksülaat	Diphenoxylate
A07DA02	oopium	Opium
A07DA03	loperamiid	Loperamide
A07DA04	difenoksiin	Difenoxin
A07DA05	loperamiid	Loperamide
A07DA80	loperamiid+simetikoon	Loperamide+Simeticone
A07E	SOOLEPÕLETIKUVASTASED AINED	INTESTINAL ANTIINFLAMMATORY AGENTS
A07EA	Lokaalselt toimivad kortikosteroidid	Corticosteroids acting locally
A07EA01	prednisoloon	Prednisolone
A07EA02	hüdrokortisoon	Hydrocortisone
A07EA03	prednisoon	Prednisone
A07EA04	beetametasoon	Betamethasone
A07EA05	tiksokortool	Tixocortol
A07EA06	budesoniid	Budesonide
A07EA07	beklometasoon	Beclometasone
A07EB	Antiallergilised ained, v.a kortikosteroidid	Antiallergic agents, excl.corticosteroids
A07EB01	kromoglütsiinhape	Cromoglicic acid
A07EC	Aminosalitsüülhape ja sarnased ained	Aminosalicylic acid and similar agents
A07EC01	sulfasalasiin	Sulfasalazine
A07EC02	mesalasiin	Mesalazine
A07EC03	olsalasiin	Olsalazine
A07F	KÕHULAHTISUSEVASTASED MIKROORGANISMID	ANTIDIARRHEAL MICROORGANISMS
A07FA	Kõhulahtisusevastased mikroorganismid	Antidiarrheal microorganisms
A07FA01	piimhappe bakterid	Lactic acid producing organisms
A07FA02	Saccharomyces boulardii	Saccharomyces boulardii
A07FA80	E. coli strain NISSLE 1917	E. coli strain NISSLE 1917
A07FA81	Lactobacillus bifidus, Biphidobacterium infants v.	Lactobacillus bifidus, Biphidobacterium infants v.
A07FA82	piimhape+pektiin	Lactic acid+Pectin
A07X	TEISED KÕHULAHTISUSEVASTASED AINED	OTHER ANTIDIARRHEALS
A07XA	Teised kõhulahtisusevastased ained	Other antidiarrheals
A07XA01	albumiintannaat	Albumin tannate
A07XA02	tseratoon	Ceratonia
A07XA04	ratsekadotriil	Racecadotril
A08	RASVUMUSVASTASED, V.A DIEEDIKS KASUTATAVAD AINED	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A08A	RASVUMUSVASTASED, V.A DIEEDIKS KASUTATAVAD AINED	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A08AA	Tsentraalse toimega rasvumusvastased ained	Centrally acting antiobesity products
A08AA01	fentermiin	Phentermine
A08AA02	fenfluramiin	Fenfluramine
A08AA03	amfepramoon	Amfepramone
A08AA04	deksfenfluramiin	Dexfenfluramine
A08AA05	masindool	Mazindol
A08AA06	etüülamfetamiin	Etilamfetamine
A08AA07	katiin	Cathine
A08AA08	klobensoreks	Clobenzorex
A08AA09	mefenoreks	Mefenorex
A08AA10	sibutramiin	Sibutramine
A08AA80	efedriin+kofeiin	Ephedrine+Caffeine
A08AB	Perifeerse toimega rasvumusvastased ained	Peripherally acting antiobesity products
A08AB01	orlistaat	Orlistat
A08AX	Teised rasvumusvastased ained	Other antiobesity drugs
A08AX01	rimonabant	Rimonabant
A09	SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID	DIGESTIVES, INCL. ENZYMES
A09A	SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID	DIGESTIVES, INCL. ENZYMES
A09AA	Ensüümid	Enzyme preparations
A09AA01	amülaas	Amylase
A09AA02	lipaas+amülaas+proteaas	Lipase+Amylase+Protease
A09AA03	pepsiin	Pepsin
A09AA80	lipaas+amülaas+proteaas+dimetikoon	Lipase+Amylase+Protease+Dimeticone
A09AB	Happed	Acid preparations
A09AB01	glutamiinhape	Glutamic acid
A09AB02	betaiin	Betaine
A09AB03	vesinikkloriidhape, lahjendatud	Hydrochloric acid, dilute
A09AB04	sidrunhape	Citric acid
A09AC	Ensüümide ja hapete kombinatsioonid	Enzyme and acid preparations, combinations
A09AC80	pepsiin+betaiin	Pepsin+Betaine
A10	DIABEEDI RAVIKS KASUTATAVAD AINED	DRUGS USED IN DIABETES
A10A	INSULIINID JA NENDE ANALOOGID	INSULINS AND ANALOGUES
A10AB	Lühikese toimeajaga insuliinid ja nende analoogid süstimiseks	Insulins and analogues for injection, fast-acting
A10AB01	lühikese toimeajaga humaaninsuliin	Insulin (human)
A10AB03	lühikese toimeajaga seainsuliin	Insulin (pork)
A10AB04	lispro-insuliin	Insulin lispro
A10AB05	aspart-insuliin	Insulin aspart
A10AB06	glulisiin-insuliin	Insulin glulisine
A10AC	Keskmise toimeajaga insuliinid ja nende analoogid süstimiseks	Insulins and analogues for injection, intermediate-acting
A10AC01	keskmise toimeajaga humaaninsuliin	Insulin (human)
A10AC03	lühikese toimeajaga seainsuliin	Insulin (pork)
A10AC04	lispro-insuliin	Insulin lispro
A10AD	Keskmise ja lühikese toimeajaga insuliinide ja nende analoogide kombinatsioonid süstimiseks	Insulins and analogues for injection, intermediate-acting combined with fast-acting
A10AD01	lühikese toimeajaga ja keskmise toimeajaga humaani	Insulin (human)
A10AD03	lühikese toimeajaga seainsuliin	Insulin (pork)
A10AD04	lispro-insuliin	Insulin lispro
A10AD05	aspart-insuliin	Insulin aspart
A10AE	Pika toimeajaga insuliinid ja nende analoogid süstimiseks	Insulins and analogues for injection, long-acting
A10AE01	pika toimeajaga humaaninsuliin	Insulin (human)
A10AE03	pika toimeajaga seainsuliin	insulin (pork)
A10AE04	glargiin-insuliin	Insulin glargine
A10AE05	detemir-insuliin	Insulin detemir
A10AE80	degludek-insuliin	Insulin degludec
A10AE81	degludek-insuliin+aspart-insuliin	Insulin degludec+Insulin aspart
A10AF	Insuliinid ja nende analoogid inhaleerimiseks	Insulins and analogues for inhalation
A10AF01	humaaninsuliin	Insulin human
A10B	VERE GLÜKOOSISISALDUST VÄHENDAVAD AINED, V.A INSULIINID	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS
A10BA	Biguaniidid	Biguanides
A10BA01	fenformiin	Phenformin
A10BA02	metformiin	Metformin
A10BA03	buformiin	Buformin
A10BB	Sulfoonamiidid, uurea derivaadid	Sulfonamides, urea derivatives
A10BB01	glibenklamiid	Glibenclamide
A10BB02	kloorpropamiid	Chlorpropamide
A10BB03	tolbutamiid	Tolbutamide
A10BB04	glibornuriid	Glibornuride
A10BB05	tolasamiid	Tolazamide
A10BB06	karbutamiid	Carbutamide
